Algorithm,Preprocessing,K,Silhouette,Davies-Bouldin,Calinski-Harabasz
KMeans,Raw,2,0.6810461692117462,0.40429283717304343,513.9245459802768
Agglomerative,Raw,2,0.6867350732769777,0.38275284210068616,502.82156350235897
KMeans,StandardScaler,2,0.5817500491982808,0.5933126905762435,251.34933946458108
Agglomerative,StandardScaler,2,0.5770346019475988,0.5916560992933364,240.24566522437965
KMeans,MinMaxScaler,2,0.6300471284354711,0.4861670617644721,354.36555591073966
Agglomerative,MinMaxScaler,2,0.6300471284354711,0.4861670617644721,354.36555591073966
KMeans,RobustScaler,2,0.5284289962068811,0.7085079014180228,174.36260028326697
Agglomerative,RobustScaler,2,0.5284289962068811,0.7085079014180228,174.36260028326697
KMeans,Raw,3,0.551191604619592,0.6660385791628493,561.5937320156642
Agglomerative,Raw,3,0.5543236611296419,0.6562564540642021,558.0580408128307
KMeans,StandardScaler,3,0.4630420362927048,0.8324162130910141,241.42632349435513
Agglomerative,StandardScaler,3,0.4466890410285909,0.8034665302876753,222.71916382215363
KMeans,MinMaxScaler,3,0.48292893354301647,0.7867328111284443,351.29506405605156
Agglomerative,MinMaxScaler,3,0.5047999262278894,0.7479765230789547,349.2541845059015
KMeans,RobustScaler,3,0.4430577774072145,0.8306513373244667,177.6143508641577
Agglomerative,RobustScaler,3,0.44730898588988754,0.8305419505518753,173.76960580549311
KMeans,Raw,4,0.49535632852884987,0.763894658536336,529.1966593804772
Agglomerative,Raw,4,0.4889670857554692,0.7952637917518272,515.0789062430442
KMeans,StandardScaler,4,0.41308512352502325,0.9223321372280167,206.07292961986067
Agglomerative,StandardScaler,4,0.4006363159855973,0.9788214982592804,201.2514543140406
KMeans,MinMaxScaler,4,0.44506548804598545,0.9004485273533356,314.47299851026844
Agglomerative,MinMaxScaler,4,0.43303613607091695,0.8485976348231026,301.10401533247824
KMeans,RobustScaler,4,0.41015378212602455,0.8779357012980007,152.41753300785203
Agglomerative,RobustScaler,4,0.4125197733433228,0.819405695271716,160.06331367325762
DBSCAN,Raw,2,0.48603419703456857,7.222448016359581,220.29751498443005
DBSCAN,StandardScaler,2,0.35651648142700726,7.124056948818223,84.51033032484679
DBSCAN,RobustScaler,2,0.5064567021631655,3.2057538971101347,81.59079857989961
